0,58,96,69,56,28,32,44,33,36,51,50,53,40,52,47,45,41,42,57,86,28,78,38,21,30,35,42,60,22
58,0,36,60,10,48,48,48,62,21,6,95,35,62,51,27,75,85,28,34,42,69,44,44,86,37,73,55,81,57
96,36,0,45,61,88,24,38,47,66,39,73,56,37,57,85,29,49,75,43,91,12,57,62,31,68,32,34,65,28
69,60,45,0,62,49,56,50,51,25,40,56,39,32,45,52,41,52,75,73,70,20,27,34,68,39,59,57,71,50
56,10,61,62,0,56,50,47,66,46,48,48,43,46,31,70,23,43,66,28,93,54,63,22,61,66,37,22,93,46
28,48,88,49,56,0,65,58,43,26,85,26,21,51,86,33,63,53,67,39,41,7,79,16,54,35,83,78,38,60
32,48,24,56,50,65,0,90,61,21,73,77,45,84,24,51,24,84,68,77,52,24,47,53,40,66,53,60,21,82
44,48,38,50,47,58,90,0,42,95,45,41,35,51,38,85,79,75,93,13,41,39,61,36,54,85,69,60,54,66
33,62,47,51,66,43,61,42,0,56,64,75,50,70,30,33,36,32,64,35,3,54,61,75,93,28,41,79,46,46
36,21,66,25,46,26,21,95,56,0,20,28,68,67,79,65,19,73,85,83,42,13,61,67,59,54,58,38,80,44
51,6,39,40,48,85,73,45,64,20,0,34,33,33,77,55,45,38,47,41,86,29,59,43,38,64,44,42,65,20
50,95,73,56,48,26,77,41,75,28,34,0,39,81,60,25,67,47,31,75,15,55,43,22,88,24,27,54,49,59
53,35,56,39,43,21,45,35,50,68,33,39,0,59,71,68,62,73,51,73,49,17,84,72,49,28,55,77,58,37
40,62,37,32,46,51,84,51,70,67,33,81,59,0,49,89,28,74,75,76,34,41,19,74,20,64,20,47,57,34
52,51,57,45,31,86,24,38,30,79,77,60,71,49,0,80,75,44,25,69,44,65,49,82,65,45,100,71,47,42
47,27,85,52,70,33,51,85,33,65,55,25,68,89,80,0,47,76,57,48,45,86,40,56,52,100,35,53,71,53
45,75,29,41,23,63,24,79,36,19,45,67,62,28,75,47,0,43,23,34,65,60,62,86,45,66,68,30,36,71
41,85,49,52,43,53,84,75,32,73,38,47,73,74,44,76,43,0,66,82,24,15,34,80,48,45,52,66,86,83
42,28,75,75,66,67,68,93,64,85,47,31,51,75,25,57,23,66,0,25,83,58,71,66,61,51,22,33,38,69
57,34,43,73,28,39,77,13,35,83,41,75,73,76,69,48,34,82,25,0,69,65,83,52,46,62,26,31,91,30
86,42,91,70,93,41,52,41,3,42,86,15,49,34,44,45,65,24,83,69,0,73,22,36,77,36,52,71,51,24
28,69,12,20,54,7,24,39,54,13,29,55,17,41,65,86,60,15,58,65,73,0,69,49,67,66,44,47,19,81
78,44,57,27,63,79,47,61,61,61,59,43,84,19,49,40,62,34,71,83,22,69,0,82,43,63,23,45,61,28
38,44,62,34,22,16,53,36,75,67,43,22,72,74,82,56,86,80,66,52,36,49,82,0,30,57,18,58,28,55
21,86,31,68,61,54,40,54,93,59,38,88,49,20,65,52,45,48,61,46,77,67,43,30,0,58,9,48,59,44
30,37,68,39,66,35,66,85,28,54,64,24,28,64,45,100,66,45,51,62,36,66,63,57,58,0,81,52,22,45
35,73,32,59,37,83,53,69,41,58,44,27,55,20,100,35,68,52,22,26,52,44,23,18,9,81,0,72,67,39
42,55,34,57,22,78,60,60,79,38,42,54,77,47,71,53,30,66,33,31,71,47,45,58,48,52,72,0,32,41
60,81,65,71,93,38,21,54,46,80,65,49,58,57,47,71,36,86,38,91,51,19,61,28,59,22,67,32,0,23
22,57,28,50,46,60,82,66,46,44,20,59,37,34,42,53,71,83,69,30,24,81,28,55,44,45,39,41,23,0
